Algorithm,Cross validation,Test / training,Training,Percentage split,Tree size,Parameters,Vidurkis
RandomTree_K=8_M=1.0,95.0,97.5,96.0,92.6471,355.0,-K 8 -M 1.0 -V 0.001 -S 1,95.286775
RandomTree_K=8_M=10,94.25,95.0,95.75,92.6471,105.0,-K 8 -M 10 -V 0.001 -S 1,94.411775
RandomTree_K=5_M=1.0,94.25,97.5,96.0,92.6471,355.0,-K 5 -M 1.0 -V 0.001 -S 1,95.099275
RandomTree_K=8_M=20,94.0,90.0,95.5,92.6471,79.0,-K 8 -M 20 -V 0.001 -S 1,93.036775
RandomTree_K=5_M=10,93.5,95.0,95.75,92.6471,133.0,-K 5 -M 10 -V 0.001 -S 1,94.224275
REPTree_L=-2_M=5,93.25,90.0,93.5,92.6471,23.0,-M 5 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,92.349275
REPTree_L=5_M=5,93.25,90.0,93.5,92.6471,23.0,-M 5 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,92.349275
REPTree_L=-1_M=5,93.25,90.0,93.5,92.6471,23.0,-M 5 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,92.349275
REPTree_L=3_M=5,93.25,90.0,93.5,92.6471,23.0,-M 5 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,92.349275
REPTree_L=-2_M=2,93.25,95.0,94.0,92.6471,37.0,-M 2 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,93.724275
REPTree_L=5_M=2,93.25,95.0,94.0,92.6471,37.0,-M 2 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,93.724275
REPTree_L=-1_M=2 (Original Default),93.25,95.0,94.0,92.6471,37.0,-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,93.724275
REPTree_L=3_M=2,93.25,95.0,94.0,92.6471,37.0,-M 2 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,93.724275
RandomTree_K=8_M=30,93.25,90.0,94.0,92.6471,43.0,-K 8 -M 30 -V 0.001 -S 1,92.474275
RandomTree_K=5_M=20,92.75,90.0,93.0,92.6471,67.0,-K 5 -M 20 -V 0.001 -S 1,92.099275
RandomTree_K=0_M=1.0 (Original Default),92.75,89.1667,96.0,92.6471,303.0,-K 0 -M 1.0 -V 0.001 -S 1,92.64095
RandomTree_K=5_M=30,92.25,90.0,91.25,92.6471,23.0,-K 5 -M 30 -V 0.001 -S 1,91.536775
RandomTree_K=0_M=10,91.75,88.3333,95.75,92.6471,109.0,-K 0 -M 10 -V 0.001 -S 1,92.1201
RandomTree_K=2_M=1.0,91.75,90.0,89.75,92.6471,261.0,-K 2 -M 1.0 -V 0.001 -S 1,91.036775
REPTree_L=5_M=10,91.25,90.0,93.5,91.1765,23.0,-M 10 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,91.48162500000001
REPTree_L=-2_M=10,91.25,90.0,93.5,91.1765,23.0,-M 10 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,91.48162500000001
REPTree_L=-1_M=10,91.25,90.0,93.5,91.1765,23.0,-M 10 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,91.48162500000001
