Algorithm,Cross validation,Test / training,Training,Percentage split,Tree size,Parameters,Vidurkis
J48_C=0.6_M=5,90.5,90.0,91.0,91.1765,23.0,-C 0.6 -M 5,90.66912500000001
J48_C=0.4_M=10,90.5,87.5,91.0,88.2353,23.0,-C 0.4 -M 10,89.308825
J48_C=0.25_M=2 (Original Default),90.5,87.5,91.0,91.1765,23.0,-C 0.25 -M 2,90.04412500000001
J48_C=0.4_M=5,90.5,87.5,91.0,91.1765,23.0,-C 0.4 -M 5,90.04412500000001
J48_C=0.7_M=5,90.5,90.0,91.0,91.1765,23.0,-C 0.7 -M 5,90.66912500000001
J48_C=0.25_M=10,90.5,87.5,91.0,88.2353,23.0,-C 0.25 -M 10,89.308825
J48_C=0.7_M=10,90.5,87.5,91.0,88.2353,23.0,-C 0.7 -M 10,89.308825
J48_C=0.25_M=5,90.5,87.5,91.0,91.1765,23.0,-C 0.25 -M 5,90.04412500000001
J48_C=0.1_M=10,90.5,87.5,91.0,88.2353,23.0,-C 0.1 -M 10,89.308825
J48_C=0.1_M=2,90.5,87.5,91.0,91.1765,23.0,-C 0.1 -M 2,90.04412500000001
J48_C=0.1_M=5,90.5,87.5,91.0,91.1765,23.0,-C 0.1 -M 5,90.04412500000001
J48_C=0.6_M=10,90.5,87.5,91.0,88.2353,23.0,-C 0.6 -M 10,89.308825
J48_C=0.4_M=2,90.5,87.5,91.0,91.1765,23.0,-C 0.4 -M 2,90.04412500000001
J48_C=0.6_M=2,90.5,90.0,91.25,91.1765,33.0,-C 0.6 -M 2,90.73162500000001
J48_C=0.7_M=2,90.5,90.0,91.25,91.1765,33.0,-C 0.7 -M 2,90.73162500000001
RandomTree_K=0_M=1.0 (Original Default),90.25,90.8333,91.5,88.9706,91.0,-K 0 -M 1.0 -V 0.001 -S 1,90.388475
RandomTree_K=0_M=10,90.0,86.6667,91.25,88.9706,73.0,-K 0 -M 10 -V 0.001 -S 1,89.221825
RandomTree_K=5_M=10,90.0,88.3333,91.25,88.9706,81.0,-K 5 -M 10 -V 0.001 -S 1,89.638475
RandomTree_K=8_M=10,90.0,88.3333,91.25,88.9706,83.0,-K 8 -M 10 -V 0.001 -S 1,89.638475
RandomTree_K=2_M=1.0,90.0,90.8333,91.5,88.9706,83.0,-K 2 -M 1.0 -V 0.001 -S 1,90.325975
RandomTree_K=8_M=1.0,90.0,90.8333,91.5,88.9706,89.0,-K 8 -M 1.0 -V 0.001 -S 1,90.325975
REPTree_L=5_M=10,89.75,76.6667,88.75,91.1765,21.0,-M 10 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,86.5858
REPTree_L=-1_M=10,89.75,76.6667,88.75,91.1765,21.0,-M 10 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,86.5858
REPTree_L=-2_M=10,89.75,76.6667,88.75,91.1765,21.0,-M 10 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,86.5858
REPTree_L=3_M=10,89.75,76.6667,88.75,91.1765,21.0,-M 10 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,86.5858
REPTree_L=-2_M=5,89.75,88.3333,89.75,91.1765,31.0,-M 5 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,89.75245
REPTree_L=3_M=5,89.75,88.3333,89.75,91.1765,31.0,-M 5 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,89.75245
REPTree_L=5_M=5,89.75,88.3333,89.75,91.1765,31.0,-M 5 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,89.75245
REPTree_L=-1_M=5,89.75,88.3333,89.75,91.1765,31.0,-M 5 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,89.75245
REPTree_L=-1_M=2 (Original Default),89.75,88.3333,90.5,91.9118,33.0,-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,90.123775
REPTree_L=5_M=2,89.75,88.3333,90.5,91.9118,33.0,-M 2 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,90.123775
REPTree_L=-2_M=2,89.75,88.3333,90.5,91.9118,33.0,-M 2 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,90.123775
REPTree_L=3_M=2,89.75,88.3333,90.5,91.9118,33.0,-M 2 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,90.123775
RandomTree_K=2_M=30,89.75,76.6667,89.5,88.9706,35.0,-K 2 -M 30 -V 0.001 -S 1,86.221825
RandomTree_K=2_M=20,89.75,85.8333,89.75,88.9706,55.0,-K 2 -M 20 -V 0.001 -S 1,88.575975
RandomTree_K=2_M=10,89.75,88.3333,91.5,88.9706,81.0,-K 2 -M 10 -V 0.001 -S 1,89.638475
RandomTree_K=5_M=1.0,89.25,90.8333,91.5,88.9706,87.0,-K 5 -M 1.0 -V 0.001 -S 1,90.138475
RandomTree_K=5_M=30,89.0,76.6667,89.5,88.9706,35.0,-K 5 -M 30 -V 0.001 -S 1,86.034325
RandomTree_K=0_M=30,89.0,76.6667,89.75,88.9706,37.0,-K 0 -M 30 -V 0.001 -S 1,86.096825
RandomTree_K=0_M=20,89.0,86.6667,90.75,88.9706,49.0,-K 0 -M 20 -V 0.001 -S 1,88.846825
RandomTree_K=5_M=20,89.0,85.8333,90.75,88.9706,57.0,-K 5 -M 20 -V 0.001 -S 1,88.638475
RandomTree_K=8_M=30,88.75,76.6667,88.75,88.9706,35.0,-K 8 -M 30 -V 0.001 -S 1,85.784325
RandomTree_K=8_M=20,88.75,85.8333,89.0,88.9706,47.0,-K 8 -M 20 -V 0.001 -S 1,88.138475
J48_C=0.6_M=20,87.75,76.6667,90.0,87.5,23.0,-C 0.6 -M 20,85.479175
J48_C=0.1_M=20,87.75,76.6667,90.0,87.5,23.0,-C 0.1 -M 20,85.479175
J48_C=0.7_M=20,87.75,76.6667,90.0,87.5,23.0,-C 0.7 -M 20,85.479175
J48_C=0.25_M=20,87.75,76.6667,90.0,87.5,23.0,-C 0.25 -M 20,85.479175
J48_C=0.4_M=20,87.75,76.6667,90.0,87.5,23.0,-C 0.4 -M 20,85.479175
REPTree_L=3_M=20,80.0,62.5,79.75,87.5,11.0,-M 20 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,77.4375
REPTree_L=5_M=20,80.0,62.5,79.75,87.5,11.0,-M 20 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,77.4375
REPTree_L=-2_M=20,80.0,62.5,79.75,87.5,11.0,-M 20 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,77.4375
REPTree_L=-1_M=20,80.0,62.5,79.75,87.5,11.0,-M 20 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,77.4375
