from_domain,body_word_count,subject_word_count,longest_sentence_length,has_quoted_reply,has_email_closing,link_count,has_unsubscribe,capital_letter_count,capital_letter_ratio,subject_caps_ratio,punctuation_count,punctuation_ratio,question_mark_count,number_count,number_ratio,finance_symbol_count,emoji_count,emoji_ratio,has_important,feedback_words,day_of_week,time_of_day,letter_count,whitespace_ratio,label
notice.aliexpress.com,5744,5,304,True,False,40,True,1492,0.0583,0.1786,8987,0.1805,30,3243,0.1269,14,0,0.0,True,False,Wednesday,Afternoon,25580,0.4702,Good
zencoder.ai,3732,8,234,True,False,19,True,3508,0.1617,0.0784,5062,0.1553,11,3459,0.1599,0,8,0.0002,True,True,Tuesday,Afternoon,21690,0.1114,Good
ses.binance.com,3832,14,149,True,False,24,False,535,0.0326,0.303,5622,0.2123,1,1791,0.1093,0,0,0.0,True,False,Monday,Morning,16417,0.1639,Good
github.com,181,9,39,True,True,5,False,26,0.0319,0.0536,166,0.1502,0,10,0.0132,0,0,0.0,False,False,Tuesday,Night,814,0.2256,Good
linkedin.com,17358,10,393,True,False,72,True,7453,0.0907,0.1186,24305,0.1691,55,8825,0.1075,2,4,0.0,True,True,Saturday,Afternoon,82190,0.345,Good
em.probroexpress.lt,5951,5,519,True,False,22,True,2623,0.0953,0.0,8717,0.2051,5,4545,0.1652,0,2,0.0,True,False,Monday,Morning,27537,0.062,Good
linkedin.com,17025,7,405,True,False,73,True,7803,0.095,0.1364,24236,0.1681,57,9315,0.1135,2,4,0.0,True,True,Saturday,Morning,82127,0.3456,Good
linkedin.com,17585,9,393,True,False,73,True,7711,0.0921,0.1395,24596,0.169,56,8651,0.1033,4,7,0.0,True,True,Thursday,Morning,83756,0.3389,Good
linkedin.com,4665,5,390,True,False,38,True,2858,0.1096,0.0476,6312,0.1694,27,2426,0.0931,0,4,0.0001,True,True,Thursday,Afternoon,26081,0.0883,Good
linkedin.com,5199,7,399,True,True,28,True,1129,0.0473,0.0312,6438,0.1826,19,2009,0.0843,0,4,0.0001,True,True,Wednesday,Evening,23871,0.1168,Good
linkedin.com,10727,9,402,True,False,42,True,3674,0.0727,0.1803,15181,0.157,29,5750,0.1139,2,4,0.0,True,True,Sunday,Morning,50551,0.4968,Good
linkedin.com,18021,10,404,True,False,79,True,8957,0.1019,0.069,25017,0.1361,65,10385,0.1183,4,6,0.0,True,True,Saturday,Morning,87877,0.6879,Good
