Algorithm,Cross validation
RandomTree_K=8_M=1.0,86.4286
J48_C=0.7_M=5,83.7143
J48_C=0.4_M=5,83.7143
J48_C=0.6_M=5,83.7143
J48_C=0.25_M=5,83.5714
J48_C=0.25_M=2 (Original Default),83.4286
RandomTree_K=2_M=1.0,83.2857
J48_C=0.1_M=5,83.2857
J48_C=0.4_M=2,83.2857
J48_C=0.7_M=2,83.1429
J48_C=0.6_M=2,83.1429
RandomTree_K=0_M=1.0 (Original Default),82.7143
RandomTree_K=5_M=1.0,82.7143
RandomTree_K=8_M=10,82.7143
J48_C=0.1_M=2,82.7143
REPTree_L=5_M=2,82.0
RandomTree_K=8_M=20,82.0
REPTree_L=5_M=5,81.7143
REPTree_L=-1_M=2 (Original Default),81.7143
J48_C=0.1_M=20,81.7143
REPTree_L=-2_M=2,81.7143
J48_C=0.25_M=20,81.5714
REPTree_L=-2_M=5,81.2857
REPTree_L=-1_M=5,81.2857
J48_C=0.4_M=20,80.8571
J48_C=0.7_M=20,80.8571
J48_C=0.6_M=20,80.8571
J48_C=0.4_M=10,80.7143
J48_C=0.1_M=10,80.7143
RandomTree_K=5_M=10,80.2857
J48_C=0.7_M=10,80.2857
J48_C=0.6_M=10,80.2857
RandomTree_K=0_M=10,80.2857
REPTree_L=5_M=10,80.1429
RandomTree_K=8_M=30,79.8571
J48_C=0.25_M=10,79.8571
RandomTree_K=2_M=10,79.4286
REPTree_L=-2_M=10,79.4286
REPTree_L=-1_M=10,79.4286
RandomTree_K=0_M=30,79.1429
RandomTree_K=5_M=30,79.1429
REPTree_L=3_M=5,79.0
REPTree_L=3_M=2,79.0
REPTree_L=3_M=20,78.8571
REPTree_L=5_M=20,78.7143
REPTree_L=-2_M=20,78.7143
REPTree_L=3_M=10,78.7143
REPTree_L=-1_M=20,78.7143
RandomTree_K=0_M=20,78.1429
RandomTree_K=5_M=20,78.1429
RandomTree_K=2_M=20,76.0
RandomTree_K=2_M=30,75.8571
